dma_name,dma_id,term,week,score,rank,refresh_date
Greenville-New Bern-Washington NC,545,Ariana Grande,2/28/2021,19,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,3/7/2021,22,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,3/14/2021,23,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,3/21/2021,10,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,3/28/2021,6,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,4/25/2021,27,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,5/16/2021,79,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,5/23/2021,54,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,5/30/2021,27,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,6/6/2021,22,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,6/27/2021,41,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,7/4/2021,14,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,8/1/2021,43,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,8/8/2021,25,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,8/22/2021,15,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,9/5/2021,17,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,10/10/2021,35,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,10/17/2021,,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,10/31/2021,16,13,9/14/2023
